HGNC symbol	Description	Phenotype description
MED14	mediator complex subunit 14 [Source:HGNC Symbol;Acc:HGNC:2370]	
MED26	mediator complex subunit 26 [Source:HGNC Symbol;Acc:HGNC:2376]	
MED29	mediator complex subunit 29 [Source:HGNC Symbol;Acc:HGNC:23074]	
MEF2B	myocyte enhancer factor 2B [Source:HGNC Symbol;Acc:HGNC:6995]	
MEPCE	methylphosphate capping enzyme [Source:HGNC Symbol;Acc:HGNC:20247]	
METRNL	meteorin like, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:27584]	
METTL2A	methyltransferase like 2A [Source:HGNC Symbol;Acc:HGNC:25755]	
METTL7B	methyltransferase like 7B [Source:HGNC Symbol;Acc:HGNC:28276]	
MEX3A	mex-3 RNA binding family member A [Source:HGNC Symbol;Acc:HGNC:33482]	
MFN1	mitofusin 1 [Source:HGNC Symbol;Acc:HGNC:18262]	
MFSD8	major facilitator superfamily domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28486]	CLN7 disease
MFSD8	major facilitator superfamily domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28486]	CEROID LIPOFUSCINOSIS NEURONAL 7
MFSD8	major facilitator superfamily domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28486]	MACULAR DYSTROPHY WITH CENTRAL CONE INVOLVEMENT
MFSD8	major facilitator superfamily domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28486]	MFSD8-Related Neuronal Ceroid-Lipofuscinosis
MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]	
MIA	melanoma inhibitory activity [Source:HGNC Symbol;Acc:HGNC:7076]	
MICB	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	
MIER2	MIER family member 2 [Source:HGNC Symbol;Acc:HGNC:29210]	
MKNK2	MAP kinase interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]	
MLKL	mixed lineage kinase domain like [Source:HGNC Symbol;Acc:HGNC:26617]	
MLPH	melanophilin [Source:HGNC Symbol;Acc:HGNC:29643]	Griscelli disease type 3
MLPH	melanophilin [Source:HGNC Symbol;Acc:HGNC:29643]	GRISCELLI SYNDROME TYPE 3
MMACHC	methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria [Source:HGNC Symbol;Acc:HGNC:24525]	Methylmalonic acidemia with homocystinuria type cblC
MMACHC	methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria [Source:HGNC Symbol;Acc:HGNC:24525]	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA cblC TYPE
MMP23B	matrix metallopeptidase 23B [Source:HGNC Symbol;Acc:HGNC:7171]	
MMP3	matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]	CORONARY HEART DISEASE SUSCEPTIBILITY TO 6
MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	Metaphyseal anadysplasia
MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	METAPHYSEAL ANADYSPLASIA 2 AUTOSOMAL RECESSIVE (1 family)
MOB2	MOB kinase activator 2 [Source:HGNC Symbol;Acc:HGNC:24904]	
MOB3A	MOB kinase activator 3A [Source:HGNC Symbol;Acc:HGNC:29802]	
MPV17L	MPV17 mitochondrial inner membrane protein like [Source:HGNC Symbol;Acc:HGNC:26827]	
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	Autosomal dominant Charcot-Marie-Tooth disease type 2I
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	Autosomal dominant Charcot-Marie-Tooth disease type 2J
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	Autosomal dominant intermediate Charcot-Marie-Tooth disease type D
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	Charcot-Marie-Tooth disease type 1B
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	Dejerine-Sottas syndrome
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	Roussy-Levy syndrome
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	CHARCOT-MARIE-TOOTH DISEASE AXONAL TYPE 2I
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	CHARCOT-MARIE-TOOTH DISEASE AXONAL TYPE 2J
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	CHARCOT-MARIE-TOOTH DISEASE DEMYELINATING TYPE 1B
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	CHARCOT-MARIE-TOOTH DISEASE DOMINANT INTERMEDIATE D
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	NEUROPATHY CONGENITAL HYPOMYELINATING OR AMYELINATING AUTOSOMAL RECESSIVE
MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	ROUSSY-LEVY HEREDITARY AREFLEXIC DYSTASIA
MRAS	muscle RAS oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7227]	
MROH6	maestro heat like repeat family member 6 [Source:HGNC Symbol;Acc:HGNC:27814]	
MRPL32	mitochondrial ribosomal protein L32 [Source:HGNC Symbol;Acc:HGNC:14035]	
MRPL38	mitochondrial ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:14033]	
MRPS16	mitochondrial ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:14048]	Combined oxidative phosphorylation defect type 2
MRPS16	mitochondrial ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:14048]	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 2
MRPS6	mitochondrial ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:14051]	
MS4A6A	membrane spanning 4-domains A6A [Source:HGNC Symbol;Acc:HGNC:13375]	
MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	Constitutional mismatch repair deficiency syndrome
MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	Lynch syndrome
MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	MUIR-TORRE SYNDROME
MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	Lynch syndrome I
MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	MISMATCH REPAIR CANCER SYNDROME
MSTO1	misato 1, mitochondrial distribution and morphology regulator [Source:HGNC Symbol;Acc:HGNC:29678]	
MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	Hypodontia-dysplasia of nails syndrome
MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	Oligodontia
MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	OROFACIAL CLEFT 5
MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	TOOTH AGENESIS SELECTIVE 1
MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	WITKOP SYNDROME
MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	Cleft Lip +/- Cleft Palate
MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	embryonic nail plate morphogenesis
MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	face morphogenesis
MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	odontogenesis of dentin-containing tooth
MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	Leber hereditary optic neuropathy
MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	Leber plus disease
MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	Parkinsonism/MELAS overlap syndrome
MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	Maternally-inherited Leigh syndrome
MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	LEBER OPTIC ATROPHY
MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	MITOCHONDRIAL MYOPATHY ENCEPHALOPATHY LACTIC ACIDOSIS AND STROKE-LIKE EPISODES
MT1A	metallothionein 1A [Source:HGNC Symbol;Acc:HGNC:7393]	
MT1E	metallothionein 1E [Source:HGNC Symbol;Acc:HGNC:7397]	
MT1F	metallothionein 1F [Source:HGNC Symbol;Acc:HGNC:7398]	
MT1G	metallothionein 1G [Source:HGNC Symbol;Acc:HGNC:7399]	
MT1M	metallothionein 1M [Source:HGNC Symbol;Acc:HGNC:14296]	
MT1X	metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]	
MT2A	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]	
MTBP	MDM2 binding protein [Source:HGNC Symbol;Acc:HGNC:7417]	
MTCH2	mitochondrial carrier 2 [Source:HGNC Symbol;Acc:HGNC:17587]	
MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	
MTMR9	myotubularin related protein 9 [Source:HGNC Symbol;Acc:HGNC:14596]	
MTPAP	mitochondrial poly(A) polymerase [Source:HGNC Symbol;Acc:HGNC:25532]	Autosomal recessive spastic ataxia-optic atrophy-dysarthria syndrome
MTPAP	mitochondrial poly(A) polymerase [Source:HGNC Symbol;Acc:HGNC:25532]	SPASTIC ATAXIA 4 AUTOSOMAL RECESSIVE
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468]	Methylcobalamin deficiency type cblG
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468]	HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA cblG COMPLEMENTATION TYPE
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468]	NEURAL TUBE DEFECTS FOLATE-SENSITIVE SUSCEPTIBILITY TO
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468]	methylcobalamin deficiency type G (cblG)
MTSS1L	MTSS1L, I-BAR domain containing [Source:HGNC Symbol;Acc:HGNC:25094]	
MTX3	metaxin 3 [Source:HGNC Symbol;Acc:HGNC:24812]	
MYEF2	myelin expression factor 2 [Source:HGNC Symbol;Acc:HGNC:17940]	
MYLK2	myosin light chain kinase 2 [Source:HGNC Symbol;Acc:HGNC:16243]	CARDIOMYOPATHY FAMILIAL HYPERTROPHIC 1
MYO1F	myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]	
MYSM1	Myb like, SWIRM and MPN domains 1 [Source:HGNC Symbol;Acc:HGNC:29401]	
MZB1	marginal zone B and B1 cell specific protein [Source:HGNC Symbol;Acc:HGNC:30125]	
NAA25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:25783]	
NAA35	N(alpha)-acetyltransferase 35, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:24340]	
NACC2	NACC family member 2 [Source:HGNC Symbol;Acc:HGNC:23846]	
NADK	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]	
NAF1	nuclear assembly factor 1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:25126]	
NAGS	N-acetylglutamate synthase [Source:HGNC Symbol;Acc:HGNC:17996]	Hyperammonemia due to N-acetylglutamate synthase deficiency
NAGS	N-acetylglutamate synthase [Source:HGNC Symbol;Acc:HGNC:17996]	N-ACETYLGLUTAMATE SYNTHASE DEFICIENCY
NALCN	sodium leak channel, non-selective [Source:HGNC Symbol;Acc:HGNC:19082]	Hypotonia-speech impairment-severe cognitive delay syndrome
NALCN	sodium leak channel, non-selective [Source:HGNC Symbol;Acc:HGNC:19082]	CONGENITAL CONTRACTURES OF THE LIMBS AND FACE HYPOTONIA AND DEVELOPMENTAL DELAY
NALCN	sodium leak channel, non-selective [Source:HGNC Symbol;Acc:HGNC:19082]	HYPOTONIA INFANTILE WITH PSYCHOMOTOR RETARDATION AND CHARACTERISTIC FACIES 1
NALCN	sodium leak channel, non-selective [Source:HGNC Symbol;Acc:HGNC:19082]	HYPOTONIA INFANTILE WITH PSYCHOMOTOR RETARDATION AND CHARACTERISTIC FACIES
NALCN	sodium leak channel, non-selective [Source:HGNC Symbol;Acc:HGNC:19082]	Severe Hypotonia Speech Impairment and Cognitive Delay
NANOS2	nanos C2HC-type zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:23292]	
NAPSA	napsin A aspartic peptidase [Source:HGNC Symbol;Acc:HGNC:13395]	
NAV3	neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]	
NCF1	neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:HGNC:7660]	Chronic granulomatous disease
NCF1	neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:HGNC:7660]	GRANULOMATOUS DISEASE CHRONIC AUTOSOMAL RECESSIVE CYTOCHROME b-POSITIVE TYPE I
NCF1	neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:HGNC:7660]	positive regulation of superoxide anion generation
NCF1	neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:HGNC:7660]	superoxide-generating NADPH oxidase activity
NCF4	neutrophil cytosolic factor 4 [Source:HGNC Symbol;Acc:HGNC:7662]	Chronic granulomatous disease
NCF4	neutrophil cytosolic factor 4 [Source:HGNC Symbol;Acc:HGNC:7662]	GRANULOMATOUS DISEASE CHRONIC AUTOSOMAL RECESSIVE CYTOCHROME b-POSITIVE TYPE III
NCF4	neutrophil cytosolic factor 4 [Source:HGNC Symbol;Acc:HGNC:7662]	superoxide-generating NADPH oxidase activator activity
NCR3LG1	natural killer cell cytotoxicity receptor 3 ligand 1 [Source:HGNC Symbol;Acc:HGNC:42400]	
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	MITOCHONDRIAL COMPLEX I DEFICIENCY
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	Leigh syndrome
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	Mitochondrial Respiratory Chain Complex I Deficiency (nuclear genes)
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	Muscle Weakness and Isolated Complex I Deficiency
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	Leigh syndrome with leukodystrophy
NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	17q11 microdeletion syndrome
NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	17q11.2 microduplication syndrome
NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	Juvenile myelomonocytic leukemia
NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	Neurofibromatosis type 1 due to NF1mutation or intragenic deletion
NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	Neurofibromatosis-Noonan syndrome
NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	NEUROFIBROMATOSIS FAMILIAL SPINAL
NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	NEUROFIBROMATOSIS TYPE I
NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	WATSON SYNDROME
NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	Familial spinal neurofibromatosis
NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	neurofibromatosis type 1 (NF1)
NFATC4	nuclear factor of activated T-cells 4 [Source:HGNC Symbol;Acc:HGNC:7778]	
NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	
NFKB2	nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]	Common variable immunodeficiency
NFKB2	nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]	Deficiency in anterior pituitary function-variable immunodeficiency syndrome
NFKB2	nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]	IMMUNODEFICIENCY COMMON VARIABLE 10
NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	Giant cell glioblastoma
NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	Gliosarcoma
NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	Hypohidrotic ectodermal dysplasia with immunodeficiency
NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	ECTODERMAL DYSPLASIA ANHIDROTIC WITH T-CELL IMMUNODEFICIENCY AUTOSOMAL DOMINANT
NHLH1	nescient helix-loop-helix 1 [Source:HGNC Symbol;Acc:HGNC:7817]	
NHLRC3	NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751]	
NLRP6	NLR family pyrin domain containing 6 [Source:HGNC Symbol;Acc:HGNC:22944]	
NOP2	NOP2 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:7867]	
NOS3	nitric oxide synthase 3 [Source:HGNC Symbol;Acc:HGNC:7876]	ALZHEIMER DISEASE
NOS3	nitric oxide synthase 3 [Source:HGNC Symbol;Acc:HGNC:7876]	HYPERTENSION ESSENTIAL SUSCEPTIBILITY TO
NOS3	nitric oxide synthase 3 [Source:HGNC Symbol;Acc:HGNC:7876]	PREECLAMPSIA/ECLAMPSIA 1
NOS3	nitric oxide synthase 3 [Source:HGNC Symbol;Acc:HGNC:7876]	STROKE ISCHEMIC
NPAT	nuclear protein, coactivator of histone transcription [Source:HGNC Symbol;Acc:HGNC:7896]	
NPC1L1	NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]	cholesterol biosynthetic process
NPC1L1	NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]	cholesterol transport
NPC1L1	NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]	intestinal cholesterol absorption
NPC1L1	NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]	lipoprotein metabolic process
NPFF	neuropeptide FF-amide peptide precursor [Source:HGNC Symbol;Acc:HGNC:7901]	
NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	apoptotic cell clearance
NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	negative regulation of cholesterol storage
NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	negative regulation of lipid transport
NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	negative regulation of pinocytosis
NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	positive regulation of cellular protein metabolic process
NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	positive regulation of cholesterol efflux
NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	positive regulation of fatty acid biosynthetic process
NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	positive regulation of lipoprotein lipase activity
NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	positive regulation of transcription from RNA polymerase II promoter
NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	positive regulation of transcription DNA-templated
NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	positive regulation of triglyceride biosynthetic process
NR2C2	nuclear receptor subfamily 2 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7972]	
NRK	Nik related kinase [Source:HGNC Symbol;Acc:HGNC:25391]	
NSUN3	NOP2/Sun RNA methyltransferase family member 3 [Source:HGNC Symbol;Acc:HGNC:26208]	
NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1 [Source:HGNC Symbol;Acc:HGNC:29923]	
NUP133	nucleoporin 133 [Source:HGNC Symbol;Acc:HGNC:18016]	
NUP155	nucleoporin 155 [Source:HGNC Symbol;Acc:HGNC:8063]	Familial atrial fibrillation
NUP155	nucleoporin 155 [Source:HGNC Symbol;Acc:HGNC:8063]	Atrial fibrillation familial 15
NUP210L	nucleoporin 210 like [Source:HGNC Symbol;Acc:HGNC:29915]	
NUPR1	nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]	
NUTM2A	NUT family member 2A [Source:HGNC Symbol;Acc:HGNC:23438]	Endometrial stromal sarcoma
NXN	nucleoredoxin [Source:HGNC Symbol;Acc:HGNC:18008]	
OGFOD1	2-oxoglutarate and iron dependent oxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25585]	
OIT3	oncoprotein induced transcript 3 [Source:HGNC Symbol;Acc:HGNC:29953]	
OPA1	OPA1, mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]	Autosomal dominant optic atrophy plus syndrome
OPA1	OPA1, mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]	Autosomal dominant optic atrophy classic form
OPA1	OPA1, mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]	Behr syndrome
OPA1	OPA1, mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]	GLAUCOMA NORMAL TENSION SUSCEPTIBILITY TO
OPA1	OPA1, mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]	MITOCHONDRIAL DNA DEPLETION SYNDROME 14 (CARDIOENCEPHALOMYOPATHICTYPE)
OPA1	OPA1, mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]	OPTIC ATROPHY 1
OPA1	OPA1, mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]	OPTIC ATROPHY WITH OR WITHOUT DEAFNESS OPHTHALMOPLEGIA MYOPATHY ATAXIA AND NEUROPATHY
OR2H2	olfactory receptor family 2 subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:8253]	
OR7A5	olfactory receptor family 7 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:8368]	
OR7C1	olfactory receptor family 7 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:8373]	
ORC3	origin recognition complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:8489]	
OSBPL9	oxysterol binding protein like 9 [Source:HGNC Symbol;Acc:HGNC:16386]	
OSTN	osteocrin [Source:HGNC Symbol;Acc:HGNC:29961]	
OTOS	otospiralin [Source:HGNC Symbol;Acc:HGNC:22644]	
P2RY11	purinergic receptor P2Y11 [Source:HGNC Symbol;Acc:HGNC:8540]	Narcolepsy-cataplexy syndrome
P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	
P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	
PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	X-linked non-syndromic intellectual disability
PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	Agenesis of the corpus callosum X-linked partial
PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	mental retardation X-linked type 30 (MRX30)
PALD1	phosphatase domain containing, paladin 1 [Source:HGNC Symbol;Acc:HGNC:23530]	
PALM3	paralemmin 3 [Source:HGNC Symbol;Acc:HGNC:33274]	
PAPD4	poly(A) RNA polymerase D4, non-canonical [Source:HGNC Symbol;Acc:HGNC:26776]	
PARD3	par-3 family cell polarity regulator [Source:HGNC Symbol;Acc:HGNC:16051]	
PARD6G	par-6 family cell polarity regulator gamma [Source:HGNC Symbol;Acc:HGNC:16076]	
PARVG	parvin gamma [Source:HGNC Symbol;Acc:HGNC:14654]	
PAX3	paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]	Alveolar rhabdomyosarcoma
PAX3	paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]	CRANIOFACIAL-DEAFNESS-HAND SYNDROME
PAX3	paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]	WAARDENBURG SYNDROME TYPE 1
PAX3	paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]	WAARDENBURG SYNDROME TYPE 3
PAX3	paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]	RHABDOMYOSARCOMA 2
PCBD1	pterin-4 alpha-carbinolamine dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:8646]	Dehydratase deficiency
PCBD1	pterin-4 alpha-carbinolamine dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:8646]	HYPERPHENYLALANINEMIA BH4-DEFICIENT D
PCCB	propionyl-CoA carboxylase beta subunit [Source:HGNC Symbol;Acc:HGNC:8654]	PROPIONIC ACIDEMIA
PCGF1	polycomb group ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17615]	
PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	
PCTP	phosphatidylcholine transfer protein [Source:HGNC Symbol;Acc:HGNC:8752]	
PCYOX1L	prenylcysteine oxidase 1 like [Source:HGNC Symbol;Acc:HGNC:28477]	
PDE10A	phosphodiesterase 10A [Source:HGNC Symbol;Acc:HGNC:8772]	Childhood-Onset Chorea with Bilateral Striatal Lesions
PDE11A	phosphodiesterase 11A [Source:HGNC Symbol;Acc:HGNC:8773]	Primary pigmented nodular adrenocortical disease
PDE11A	phosphodiesterase 11A [Source:HGNC Symbol;Acc:HGNC:8773]	PIGMENTED NODULAR ADRENOCORTICAL DISEASE PRIMARY 2
PDE7A	phosphodiesterase 7A [Source:HGNC Symbol;Acc:HGNC:8791]	
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	Acroosteolysis-keloid-like lesions-premature aging syndrome
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	Bilateral striopallidodentate calcinosis
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	Chronic myelomonocytic leukemia
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	Infantile myofibromatosis 1
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	Myeloid neoplasm associated with PDGFRB rearrangement
